索引,Method分类,SSOT对象,Method标准状态,来源定位,Runtime对应与依据,校准结论,差异或边界,建议下一步,实际业务实例核验,评审结论
I01,Anchor,Strategic Issue,Defined,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl7EEJUYN3dqpTt&record=rec28cqIwUbDwj,StrategicIssue / PotentialIssue；T02/T14/T17/T18,需契约调整,C02/C03：Agent立项已支持，但候选对象和固定阶段仍在,明确直接形成、归并、framing return 与按需研究的 L4,未核验企业真实实例,待评审
I02,Anchor,Strategy,Defined,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl7EEJUYN3dqpTt&record=rec28cqIwUbDBx,Strategy / StrategyUpdateProposal；T01/T17/T18,需契约调整,C03/C05：旧更新链仍依赖纪要和提案；必要能力语义需对齐,保留版本/来源机制，定义新 Agreement 到正式更新契约,未核验企业真实实例,待评审
I03,Anchor,Strategic Architecture,Defined,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl7EEJUYN3dqpTt&record=rec28cqIwUbDGK,StrategicArchitecture.units；T02/T14,需契约调整,C05：battlefield/capability + domain_id 不等于新版 Battlefield + Domain,明确稳定身份、责任域映射和旧引用接续,未核验企业真实实例,待评审
I04,Anchor,LT Company Outcome (LTCO),Defined,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl7EEJUYN3dqpTt&record=rec28cqIwUbDMh,LTCO.outcomes[] / architecture_ref；T02/T03,待业务收口,C06：整体对象和 Scope 级结果的颗粒度不应默认相同,用一条真实 Scope 目标链映射,未核验企业真实实例,待评审
I05,Anchor,Period Company Outcome (PCO),Defined,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl7EEJUYN3dqpTt&record=rec28cqIwUbDUc,PCO.unit_outcomes[] / ltco_ref；T02/T03,待业务收口,C06：整体 LTCO 引用、Scope 结果、PDO 与组合语义待对账,确认 Parent LTCO 与共同承诺的准确范围,未核验企业真实实例,待评审
I06,Anchor,Mission,Defined,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl7EEJUYN3dqpTt&record=rec28cqIwUbDZm,Mission.supports / primary_scope_id；T02/T03,待业务收口,C06：已有精确成果支撑；PDO层级仍开放；不是普通任务,对账上游关系及 Owner 的真实承诺证据,未核验企业真实实例,待评审
I07,Anchor,Play,Defined,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl7EEJUYN3dqpTt&record=rec28cqIwUbE4A,0.3 边界明确后续交付；T01,未覆盖,C09：旧执行计划不能直接作为 Play,选真实 Mission 明确打法质量及变更权,未核验企业真实实例,待评审
I08,Anchor,Human + AI Plan,Defined,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl7EEJUYN3dqpTt&record=rec28cqIwUbE9E,0.3 边界明确后续交付；T01,未覆盖,C09：尚无该 Method 对象及完整运行契约,选择执行场景明确人机分工、交接和人工治理,未核验企业真实实例,待评审
I09,Anchor,Operating State,Defined,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl7EEJUYN3dqpTt&record=rec28cqIwUbEeQ,OperatingState / canonical_state；T02/T14,可复用（部分）,C07：精确基准/时点已具备；Battlefield/Domain 等更广范围未覆盖,确认新增主体、基准及当前有权责任人,未核验企业真实实例,待评审
I10,Anchor,Operating Problem,Defined,https://tokenking.feishu.cn/base/JsnFbPEKja6opssiklecQ7UlnCb?table=tbl7EEJUYN3dqpTt&record=rec28cqIwUbEjX,OperatingProblem / transferred；T02/T14,可复用（部分）,C08/O04：普通关闭/原子移交已有；新版未细化移交终态,核对移交后停止原跟踪与新议题连续性,未核验企业真实实例,待评审
